country,iso,status
Afghanistan,AFG,regional
UAE,ARE,regional
Australia,AUS,regional
Azerbaijan,AZE,regional
Bangladesh,BGD,regional
Bahrain,BHR,regional
Brunei,BRN,regional
China,CHN,regional
Cyprus,CYP,regional
Fiji,FJI,regional
Georgia,GEO,regional
"Hong Kong, China",HKG,regional
Indonesia,IDN,regional
India,IND,regional
Iran,IRN,regional
Israel,ISR,regional
Jordan,JOR,regional
Kazakhstan,KAZ,regional
Kyrgyz Republic,KGZ,regional
Cambodia,KHM,regional
Korea,KOR,regional
Laos,LAO,regional
Sri Lanka,LKA,regional
Maldives,MDV,regional
Myanmar,MMR,regional
Mongolia,MNG,regional
Malaysia,MYS,regional
Nepal,NPL,regional
New Zealand,NZL,regional
Oman,OMN,regional
Pakistan,PAK,regional
Philippines,PHL,regional
Qatar,QAT,regional
Russia,RUS,regional
Saudi Arabia,SAU,regional
Singapore,SGP,regional
Thailand,THA,regional
Tajikistan,TJK,regional
Timor-Leste,TLS,regional
Turkey,TUR,regional
Uzbekistan,UZB,regional
Vietnam,VNM,regional
Vanuatu,VUT,regional
Samoa,WSM,regional
Austria,AUT,non-regional
Belgium,BEL,non-regional
Belarus,BLR,non-regional
Canada,CAN,non-regional
Switzerland,CHE,non-regional
Germany,DEU,non-regional
Denmark,DNK,non-regional
Algeria,DZA,non-regional
Ecuador,ECU,non-regional
Egypt,EGY,non-regional
Spain,ESP,non-regional
Ethiopia,ETH,non-regional
Finland,FIN,non-regional
France,FRA,non-regional
UK,GBR,non-regional
Guinea,GIN,non-regional
Greece,GRC,non-regional
Croatia,HRV,non-regional
Hungary,HUN,non-regional
Ireland,IRL,non-regional
Iceland,ISL,non-regional
Italy,ITA,non-regional
Luxembourg,LUX,non-regional
Madagascar,MDG,non-regional
Malta,MLT,non-regional
Netherlands,NLD,non-regional
Norway,NOR,non-regional
Poland,POL,non-regional
Portugal,PRT,non-regional
Romania,ROU,non-regional
Sudan,SDN,non-regional
Senegal,SEN,non-regional
Serbia,SRB,non-regional
Sweden,SWE,non-regional
